"","RESPONDENT_YRSED","PARTNER_YRSED","PPINCIMP","PPWORK","QFLAG","PAPGLB_STATUS","PPMARIT","PPGENDER","Q4","Q5","Q23","PPETHM","Q6B","RESPONDENT_RACE","PARTNER_RACE","RELATIONSHIP_QUALITY","diff_in_education","diff_in_race","diff_in_income"
"1",16,14,"(07) $20,000 to $24,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(4) good",2,1,1
"2",17,16,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",1,0,1
"4",14,12,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",2,0,1
"7",16,17,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-1,0,1
"8",17,17,"(06) $15,000 to $19,999","(1) working - as a paid employee","(1) partnered","(1) yes","(4) separated","(1) male","(2) female","(2) no, we are an opposite-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",0,0,1
"10",13,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"11",17,17,"(17) $125,000 to $149,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"12",20,17,"(19) $175,000 or more","(2) working - self-employed","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(2) we earned about the same amount","(1) white, non-hispanic","(2) black or african american","(1) NH white","(2) NH black","(5) excellent",3,1,0
"13",16,16,"(14) $75,000 to $84,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(2) female","(1) male","(2) no, we are an opposite-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",0,0,1
"14",17,13,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(3) divorced","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",4,0,1
"15",16,16,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(3) divorced","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(3) fair",0,0,1
"17",13,16,"(05) $12,500 to $14,999","(5) not working - retired","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-3,0,1
"19",20,12,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(2) black or african american","(1) NH white","(2) NH black","(4) good",8,1,1
"20",11,16,"(01) less than $5,000","(4) not working - looking for work","(1) partnered","(1) yes","(5) never married","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-5,0,1
"22",17,12,"(17) $125,000 to $149,999","(1) working - as a paid employee","(1) partnered","(1) yes","(1) married","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",5,0,1
"23",13,13,"(16) $100,000 to $124,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(3) partner earned more","(2) black, non-hispanic","(1) white","(2) NH black","(1) NH white","(4) good",0,1,1
"25",20,14,"(14) $75,000 to $84,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",6,0,1
"26",13,16,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-3,0,1
"27",7.5,13,"(07) $20,000 to $24,999","(5) not working - retired","(1) partnered","(2) no","(1) married","(1) male","(2) female",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-5.5,0,1
"29",16,13,"(15) $85,000 to $99,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(6) Hispanic","(4) good",3,0,1
"31",12,17,"(08) $25,000 to $29,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(4) good",-5,0,1
"32",14,12,"(12) $50,000 to $59,999","(1) working - as a paid employee","(1) partnered","(3) i would prefer to not answer this question","(5) never married","(2) female","(1) male",NA,"(3) partner earned more","(2) black, non-hispanic","(2) black or african american","(2) NH black","(2) NH black","(4) good",2,0,1
"33",16,16,"(10) $35,000 to $39,999","(5) not working - retired","(1) partnered","(1) yes","(6) living with partner","(1) male","(1) male","(1) yes, we are a same-sex couple","(3) partner earned more","(1) white, non-hispanic","(4) asian or pacific islander","(1) NH white","(4) NH Asian Pac Islander","(5) excellent",0,1,1
"34",16,17,"(13) $60,000 to $74,999","(1) working - as a paid employee","(1) partnered","(1) yes","(6) living with partner","(2) female","(2) female","(1) yes, we are a same-sex couple","(1) i earned more","(4) hispanic","(1) white","(6) Hispanic","(1) NH white","(4) good",-1,1,1
"36",16,17,"(11) $40,000 to $49,999","(1) working - as a paid employee","(1) partnered","(2) no","(5) never married","(2) female","(1) male",NA,"(1) i earned more","(1) white, non-hispanic","(1) white","(1) NH white","(1) NH white","(5) excellent",-1,0,1
